Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
Waroeng Aceh Kemang,3.9,Aceh,45000,"Kemang, Jakarta",1
Tepi Kopi,3.9,"Kafe, Kopi, Tea",45000,"Pondok Indah, Jakarta",1
Sour Sally,4,Desserts,50000,"Senayan City, Senayan, Jakarta",1
Singapore Hainanese Chicken Rice,3.2,Singapura,50000,"Senayan City, Senayan, Jakarta",1
Kedai Kenanga,3.4,Chinese,50000,"Rukan Permata Senayan, Senayan, Jakarta",1
Fins Recipe,3,"Desserts, Indonesia",50000,"Plaza Senayan, Senayan, Jakarta",1
Nata Cakes & Cookies,3.5,"Kue & Roti, Desserts",50000,"Plaza Senayan, Senayan, Jakarta",1
d’Cantel,4.6,Indonesia,50000,"Senayan, Jakarta",1
Atap Rumah,3.5,"Indonesia, Itali",50000,"Bendungan Hilir, Jakarta",1
Harlan+Holden,4,"Kopi, Desserts",50000,"Pacific Place, SCBD, Jakarta",1
"Ayam Bakar ""Kambal""",4.2,Jawa,50000,"Palmerah, Jakarta",1
Tomaple,3.5,"Kue & Roti, Kopi",50000,"Sudirman, Jakarta",1
Coffee Cup by Chérie,3.6,"Indonesia, Kopi, Tea",50000,"Rukan Permata Senayan, Senayan, Jakarta",1
McDonald's,3.7,Makanan Cepat Saji,50000,"STC Senayan, Senayan, Jakarta",1
Re.Juve,3.4,"Minuman, Jus",50000,"Plaza Senayan, Senayan, Jakarta",1
Kuroiwa Kafe and Bar,3.2,"Kopi, Kafe, Jepang",50000,"STC Senayan, Senayan, Jakarta",1
Kedai Mamaku,3.2,Indonesia,50000,"Rukan Permata Senayan, Senayan, Jakarta",1
Warung Korea Pop,4.1,Korea,50000,"Bendungan Hilir, Jakarta",1
Bebek BKB,4.3,Indonesia,50000,"Bendungan Hilir, Jakarta",1
Waroeng Western,3.4,Asia,50000,"Palmerah, Jakarta",1
Bebek Semangat,4,"Jawa, Indonesia",50000,"Plaza Semanggi, Sudirman, Jakarta",1
Kambing Bakar Barakah,3.3,Timur Tengah,50000,"Palmerah, Jakarta",1
Bebek Goreng H. Slamet,3.4,"Jawa, Indonesia",50000,"Bendungan Hilir, Jakarta",1
Bilik Kopi,2.8,"Kafe, Kopi, Tea",50000,"Sahid Sudirman Center, Sudirman, Jakarta",1
Sugakiya,4.1,Ramen,50000,"Plaza Senayan, Senayan, Jakarta",1
Hokkaido Baked Cheese Tart,4.3,"Desserts, Jepang",50000,"Senayan City, Senayan, Jakarta",1
Hunan Fish Noodle,4,Chinese,50000,"Plaza Senayan, Senayan, Jakarta",1
Yoshinoya,3.6,"Jepang, Makanan Cepat Saji",50000,"Plaza Senayan, Senayan, Jakarta",1
P&C Coffee,2.5,Kopi,50000,"Senayan City, Senayan, Jakarta",1
Green Wok,3.3,Indonesia,50000,"Senayan City, Senayan, Jakarta",1
Kopi Politik,3.5,Kafe,50000,"Senayan, Jakarta",1
Blumchen Coffee,4.1,"Kafe, Kopi, Tea",50000,"Fairgrounds, SCBD, Jakarta",1
Bu Eva Spesial Sambal,3.8,Indonesia,50000,"Bendungan Hilir, Jakarta",1
Maxx Coffee,3.2,"Kopi, Tea, Desserts",50000,"MRCCC Siloam Hospital, Sudirman, Jakarta",1
Kopi Kalyan,4.3,"Kafe, Barat, Indonesia",50000,"Senopati, Jakarta",1
Sleepyhead Coffee,4.3,Kafe,50000,"Senopati, Jakarta",1
Publichood Coffee Shop,3.9,"Kafe, Roti",50000,"Equity Tower, SCBD, Jakarta",1
Pecel Ramidjan,3.6,Jawa,50000,"Senopati, Jakarta",1
Marcoffee Bistro,3.3,"Kafe, Kopi",50000,"Menara Jamsostek, Gatot Subroto, Jakarta",1
Grabba Java Kafe,4,"Indonesia, Jepang, Chinese",50000,"Alamanda Tower, Cilandak, Jakarta",1
Nitro Coffee,3.8,Kopi,50000,"Senopati, Jakarta",1
Louie Coffee,3.8,"Kafe, Kopi, Tea",50000,"Pondok Indah, Jakarta",1
Koko Bogana,4,Jawa,50000,"Senopati, Jakarta",1
Coffite - Quality Street Coffee,3.9,"Kafe, Kopi, Itali",50000,"Tebet, Jakarta",1
MASALALU,3.9,Indonesia,50000,"Tebet, Jakarta",1
Mie Ceker Bandung,3.6,"Bakmi, Sunda",50000,"Tebet, Jakarta",1
Kambing Babeh Dolof,4,Indonesia,50000,"Kemang, Jakarta",1
Nasi Jeruk Tanggal Tua,3.8,Indonesia,50000,"Fatmawati, Jakarta",1
House Of Sore,3.6,"Kafe, Kopi",50000,"Tebet, Jakarta",1
Emji Coffee Bar & Space,3.4,"Kopi, Tea, Desserts",50000,"Kuningan, Jakarta",1
Saung Rasa,3.7,Indonesia,50000,"Tebet, Jakarta",1
CoPaste (Coffee Pasar Tebet),3,"Kopi, Desserts",50000,"Tebet, Jakarta",1
Cravefeine,3.8,Kafe,50000,"Menara Dea, Kuningan, Jakarta",1
Give Me Five Coffee & Burger Bar,3.7,"Kopi, Burger",50000,"Manggarai, Jakarta",1
Warung Tohang,3.3,"Medan, Indonesia",50000,"Tebet, Jakarta",1
Def3logie Poolside Kafe,3.6,"Kopi, Itali, Indonesia",50000,"Lebak Bulus, Jakarta",1
Backyard 52C,3.8,"Makanan Jalanan, Desserts",50000,"Setiabudi, Jakarta",1
Bunna Coffee,3.7,"Kopi, Kafe",50000,"Senopati, Jakarta",1
D'bubbles Shisha Kafe,3.9,"Kopi, Arabian, Itali, Barat",50000,"Tebet, Jakarta",1
Pittsa Lokal,3.7,Pizza,50000,"Blok M, Jakarta",1
Omio Coffee,3.7,Kopi,50000,"Kemang, Jakarta",1
Pak Ngah Kopitiam,2.9,"Jawa, Chinese",50000,"Senopati, Jakarta",1
Dapur Mampang H. Rachmat,4.8,"Indonesia, Makanan Sehat Food",50000,"Mampang Prapatan, Jakarta",1
betterCHOCOlatethannever,4.1,Desserts,50000,"Dharmawangsa, Jakarta",1
Martabak AA,4.2,"Makanan Jalanan, Martabak",50000,"Manggarai, Jakarta",1
Iga Bagus,4.1,Indonesia,50000,"Tebet, Jakarta",1
Galleon Coffee,4,"Kopi, Tea, Camilan",50000,"Kebayoran Lama, Jakarta",1
Kapyc Coffee,3.8,Kopi,50000,"Senopati, Jakarta",1
Sangre Kopi dan Gelato,3.6,"Kafe, Ice Cream, Kopi",50000,"Bintaro, Jakarta",1
Hole in One Coffee,3.6,"Kopi, Desserts",50000,"Cilandak, Jakarta",1
Honey Beans Coffee & Roastery,3.9,"Tea, Camilan, Indonesia, Kafe, Kopi",50000,"Pondok Indah, Jakarta",1
Kopi Ini,2.8,"Kopi, Tea",50000,"Lebak Bulus, Jakarta",1
Richeese Factory,3.8,Fast Food,50000,"Mampang Prapatan, Jakarta",1
Haka Dimsum Shop,4.3,Dimsum,50000,"Kemang, Jakarta",1
Warcon Warung Container,5,"Kopi, Fast Food",50000,"Cilandak, Jakarta",1
Burgushi,3.8,Jepang,50000,"Tebet, Jakarta",1
BangiKopi,3.5,"Indonesia, Peranakan, Kopi",50000,"Pasar Minggu, Jakarta",1
Bubur Ayam Sukabumi,3.4,Indonesia,50000,"Tebet, Jakarta",1
Skut Kopi,3.9,Kafe,50000,"Blok M, Jakarta",1
Roti Bakar Eddy,3.3,"Indonesia, Bakmi",50000,"Pondok Indah, Jakarta",1
Cordelia,3.6,"Roti, Desserts",50000,"Kemang, Jakarta",1
